species_name,common_name,status,category,extent,temporal_range,expected_obs,actual_obs,last_updated,taxonomic_rank,gbif_key,data_quality,color,notes,countries_observed,subregion,host_plants,host_plant_families,host_plant_status
Bicyclus anynana,Squinting Bush Brown,ingested,lepidoptera,"[-0.70, -32.73, 85.36, 24.01]",2015-02-03 to 2021-12-31,1096,475,2026-02-14,SPECIES,9840414,43.3,,,"BI,BW,CD,GH,IN,KE,KM,MW,MZ,RW,SZ,TZ,UG,YE,ZA,ZM,ZW",Sub-Saharan Africa,Ehrharta erecta,Poaceae,complete
Papilio demodocus,Citrus Swallowtail,ingested,lepidoptera,"[-25.18, -34.68, 106.71, 47.60]",2015-01-01 to 2025-12-31,9249,5273,2026-02-14,SPECIES,1938125,57,,,"AO,BF,BI,BJ,BW,CD,CF,CG,CI,CM,CV,DE,ER,ET,GA,GH,GM,GN,GW,IN,KE,KM,LR,LS,MG,ML,MU,MW,MZ,NG,OM,RE,RW,SA,SD,SL,SN,SO,SS,ST,SZ,TD,TG,TZ,UG,VN,YT,ZA,ZM,ZW",Sub-Saharan Africa,"Acacia, Aegle marmelos, Athamanta, Calodendrum, Calodendrum capense, Citrus, Citrus aurantium, Clausena, Clausena anisata, Euphorbia hirta, Fagaropsis, Fagaropsis angolenses, Foeniculum, Glycosmis pentaphylla, Haplophyllum, Hippobromus, Murraya, Pituranthos, Poncirus, Pseudospondias, Pseudospondias microcarpa, Psoralea, Ptaeroxylon, Ruta, Teclea, Teclea natalensis, Teclea nobilis, Teclea swynnertonii, Toddalia, Toddalia asiatica, Vepris, Zanthoxylum, Ziziphus mauritiana","Anacardiaceae, Apiaceae, Euphorbiaceae, Fabaceae, Ptaeroxylaceae, Rhamnaceae, Rutaceae, Sapindaceae",complete
Junonia hierta,Yellow Pansy,ingested,lepidoptera,"[-16.71, -34.50, 110.33, 33.12]",2015-01-02 to 2020-12-31,8416,2649,2026-02-14,SPECIES,5130542,31.5,,,"AO,BD,BJ,BT,BW,CD,CI,CM,CN,EG,ET,GH,GM,IN,KE,KH,LA,LK,LS,MG,ML,MM,MW,MZ,NG,OM,RW,SD,SN,SZ,TH,TZ,UG,VN,ZA,ZM,ZW",Sub-Saharan Africa,"Asystasia, Asystasia gangetica, Barleria, Barleria cristata, Barleria pungens, Barleria stuhlmannii ?, Chaetacanthus setiger, Eremomastax, Hygrophila, Hygrophila costata, Justicia, Justicia densiflora, Nelsonia canescens, Ruellia, Ruellia cordata",Acanthaceae,complete
Cacyreus marshalli,Geranium Bronze,ingested,lepidoptera,"[-17.98, -34.62, 55.45, 53.15]",2020-01-01 to 2025-12-31,31157,8895,2026-02-14,SPECIES,1932752,28.5,,,"AD,AE,AL,AT,BE,BW,CH,DE,DZ,EG,ES,ET,FR,GI,GM,GR,HR,IL,IT,KE,MA,MC,ME,MT,MW,NL,PS,PT,RE,RS,SI,SM,TN,TR,ZA,ZM,ZW",Southern Europe,"Geranium, Pelargonium",Geraniaceae,complete
Melanitis leda,Common Evening Brown,ingested,lepidoptera,"[-179.78, -34.53, 178.47, 52.36]",2015-01-01 to 2025-12-31,15895,8111,2026-02-14,SPECIES,1895956,51,,,"AO,AU,BD,BI,BJ,BT,BW,CD,CK,CM,CN,CV,FJ,GH,GM,GN,GU,HK,ID,IE,IN,JP,KE,KH,LA,LK,MG,ML,MM,MO,MP,MU,MV,MW,MY,MZ,NC,NG,NP,OM,PF,PG,PH,PK,RE,SC,SD,SG,ST,SZ,TH,TL,TO,TW,TZ,UG,VN,VU,YT,ZA,ZM,ZW",Sub-Saharan Africa,"Andropogon sorghum, Apluda mutica, Axonopus, Bambusa, Bambusa multiplex, Brachiaria mutica, Capillipedium parviflorum, Coix lacryma-jobi, Digitaria, Digitaria cruciata, Digitaria sanguinalis, Elaeis guineensis, Eleusine indica, Imperata, Imperata cylindrica, Microstegium ciliatum, Miscanthus japonicus, Miscanthus sinensis, Oryza, Oryza sativa, Panicum, Panicum maximum, Panicum repens, Paspalum, Pennisetum, Pennisetum americanum, Pennisetum purpureum, Poa pratensis, Saccharum, Saccharum officinarum, Saccharum robustum, Setaria chevalieri, Setaria cris-ardeae, Setaria palmifolia, Setaria viridis, Sorghum, Sorghum vulgare, Stenotaphrum, Thysanolaena maxima, Zea mays, Zizania latifolia","Arecaceae, Poaceae",complete
Danaus plexippus,Monarch,ingested,lepidoptera,"[-159.77, 0.00, 0.00, 53.41]",2024-01-01 to 2026-01-13,344967,291497,2026-01-31,SPECIES,,100,,Auto-added from existing GeoJSON file,,,"Apocynum androsaemifolium, Araujia sericifera, Araujia sericofera, Asclepias, Asclepias amplexicaulis, Asclepias asperula, Asclepias californica, Asclepias cancellata, Asclepias cordifolia, Asclepias curassavica, Asclepias curtissii, Asclepias eriocarpa, Asclepias erosa, Asclepias exaltata, Asclepias fascicularis, Asclepias hirtella, Asclepias humistrata, Asclepias incarnata, Asclepias lanceolata, Asclepias longifolia, Asclepias nivea, Asclepias obovata, Asclepias oenotheroides, Asclepias physocarpa, Asclepias purpurascens, Asclepias semilunata, Asclepias speciosa, Asclepias subulata, Asclepias subverticillata, Asclepias sullivantii, Asclepias syriaca, Asclepias tomentosa, Asclepias tuberosa, Asclepias variegata, Asclepias verticillata, Asclepias vestita, Asclepias viridiflora, Asclepias viridis, Calotropis gigantea, Calotropis procera, Citrus, Cynanchum angustifolium, Cynanchum laeve, Euphorbia, Euphorbia mauritanica, Gomphocarpus arborescens, Gomphocarpus fruticosus, Gomphocarpus grandiflorus, Gomphocarpus physocarpus, Gonolobus rostratus, Gossypium, Gossypium arboreum, Ipomoea, Manilkara grandiflora, Marsdenia, Matelea laevis, Matelea reticulata, Orbea variegata, Oxypetalum coeruleum, Oxypetalum umbellatum, Oxystelma pulchellum, Sarcostemma clausum, Stephanotis, Stephanotis floribunda","Apocynaceae, Asclepiadaceae, Convolvulaceae, Euphorbiaceae, Malvaceae, Rutaceae, Sapotaceae",complete
Euptoieta claudia,Variegated Fritillary,ingested,lepidoptera,"[-123.70, 15.70, -64.13, 54.47]",2015-01-01 to 2025-12-31,0,42649,2026-01-31,SPECIES,,100,,Auto-added from existing GeoJSON file,,,"Boerhavia, Boerhavia intermedia, Caragana arborescens, Cynanchum arizonicum, Cynoglossum, Desmodium paniculatum, Glycine max, Hybanthus, Hybanthus verticillatus, Ipomoea, Ipomoea batatas, Linum, Linum australe, Linum puberulum, Linum rigidum, Linum sulcatum, Linum usitatissimum, Melolobium, Menispermum, Metastelma, Passiflora, Passiflora caerulea, Passiflora foetida, Passiflora incarnata, Phaseolus vulgaris, Plantago, Podophyllum, Podophyllum peltatum, Portulaca, Portulaca oleracea, Sedum, Sedum lanceolatum, Sedum pulchellum, Sedum telephium, Trifolium rubrum, Triticum aestivum, Turnera ulmifolia, Vigna unguiculata, Viola, Viola bicolor, Viola cornuta, Viola odorata, Viola sagittata, Viola sororia, Viola tricolor, Zea mays","Asclepiadaceae, Berberidaceae, Boraginaceae, Convolvulaceae, Crassulaceae, Fabaceae, Linaceae, Menispermaceae, Nyctaginaceae, Passifloraceae, Plantaginaceae, Poaceae, Portulacaceae, Turneraceae, Violaceae",complete
Hesperia dacotae,Dakota Skipper,ingested,lepidoptera,"[-101.00, 46.89, -96.49, 50.80]",2015-07-01 to 2025-07-17,0,34,2026-01-31,SPECIES,,100,,Auto-added from existing GeoJSON file,,,"Aristida, Bouteloua curtipendula, Panicum, Poa pratensis, Schizachyrium scoparium, Stipa",Poaceae,complete
Hesperia ottoe,Ottoe Skipper,ingested,lepidoptera,"[-105.38, 35.81, -87.37, 47.63]",2015-07-13 to 2025-07-26,0,34,2026-01-31,SPECIES,,100,,Auto-added from existing GeoJSON file,,,"Andropogon gerardii, Bouteloua curtipendula, Bouteloua gracilis, Bouteloua hirsuta, Bromus, Carex geyeri, Digitaria cognata, Panicum wilcoxianum, Schizachyrium scoparium, Sporobolus neglectus","Cyperaceae, Poaceae",complete
Hypaurotis crysalus,Colorado Hairstreak,ingested,lepidoptera,"[-113.59, 17.34, -96.85, 41.31]",2015-05-29 to 2025-09-14,0,321,2026-01-31,SPECIES,,100,,Auto-added from existing GeoJSON file,,,Quercus gambelii,Fagaceae,complete
