plant_family,plant_genus,plant_species,insect_family,insect_genus,insect_species,location,host_plant_name,insect_name
Violaceae,Viola,tricolor,Nymphalidae,Mesoacidalia,aglaja,Czechoslovakia,Viola tricolor,Mesoacidalia aglaja
Poaceae,Imperata,cylindrica,Nymphalidae,Lethe,rohria,Taiwan,Imperata cylindrica,Lethe rohria
Acanthaceae,Justicia,,Nymphalidae,Junonia,westermanni,Afrotropical,Justicia,Junonia westermanni
Lamiaceae,Perilla,frutescens,Nymphalidae,Hypolimnas,bolina,Ryukyu Islands,Perilla frutescens,Hypolimnas bolina
Smilacaceae,Smilax,sebeana,Nymphalidae,Kaniska,canace,Japan,Smilax sebeana,Kaniska canace
Euphorbiaceae,Tragia,,Nymphalidae,Mesoxantha,ethosea,Afrotropical,Tragia,Mesoxantha ethosea
Poaceae,Miscanthus,flavidus,Nymphalidae,Lethe,rohria,Taiwan,Miscanthus flavidus,Lethe rohria
Amaranthaceae,Pupalia,lappacea,Nymphalidae,Junonia,westermanni,Afrotropical,Pupalia lappacea,Junonia westermanni
Polygonaceae,Persicaria,prostrata,Nymphalidae,Hypolimnas,bolina,Australia,Persicaria prostrata,Hypolimnas bolina
Smilacaceae,Smilax,sieboldii,Nymphalidae,Kaniska,canace,former USSR,Smilax sieboldii,Kaniska canace
Euphorbiaceae,Tragia,nepetifolia,Nymphalidae,Mestra,amymone,USA,Tragia nepetifolia,Mestra amymone
Poaceae,Bambusa,,Nymphalidae,Lethe,rohria,Hong Kong,Bambusa,Lethe rohria
Acanthaceae,Hygrophila,salicifolia,Nymphalidae,Kallima,inachus,Japan,Hygrophila salicifolia,Kallima inachus
Fabaceae,Phaseolus,,Nymphalidae,Hypolimnas,bolina,Afrotropical,Phaseolus,Hypolimnas bolina
Convallariaceae,Tricyrtis,,Nymphalidae,Kaniska,canace,Japan,Tricyrtis,Kaniska canace
Solanaceae,Brunfelsia,uniflora,Nymphalidae,Methona,themisto,Ecuador,Brunfelsia uniflora,Methona themisto
Acanthaceae,Lepidagathis,formosensis,Nymphalidae,Kallima,inachus,Taiwan,Lepidagathis formosensis,Kallima inachus
Urticaceae,Pipturus,,Nymphalidae,Hypolimnas,bolina,Fiji,Pipturus,Hypolimnas bolina
Smilacaceae,Smilax,china,Nymphalidae,Kaniska,canace,Taiwan,Smilax china,Kaniska canace
Oleaceae,Jasminum,angustifolium,Nymphalidae,Methona,themisto,Brazil,Jasminum angustifolium,Methona themisto
Acanthaceae,Strobilanthes,,Nymphalidae,Kallima,inachus,India,Strobilanthes,Kallima inachus
Portulacaceae,Portulaca,,Nymphalidae,Hypolimnas,bolina,Afrotropical,Portulaca,Hypolimnas bolina
Smilacaceae,Smilax,riparia,Nymphalidae,Kaniska,canace,Taiwan,Smilax riparia,Kaniska canace
Poaceae,Bromus,,Nymphalidae,Minois,dryas,Spain,Bromus,Minois dryas
Hypericaceae,Calophyllum,,Nymphalidae,Lexias,aeropus,Australasia,Calophyllum,Lexias aeropus
Acanthaceae,Strobilanthes,glandulifera,Nymphalidae,Kallima,inachus,Japan,Strobilanthes glandulifera,Kallima inachus
Flacourtiaceae,Rawsonia,lucida,Nymphalidae,Lachnoptera,anticlia,East Africa,Rawsonia lucida,Lachnoptera anticlia
