species_name,common_name,status,category,extent,temporal_range,expected_obs,actual_obs,last_updated,taxonomic_rank,gbif_key,data_quality,color,notes,countries_observed,subregion,host_plants
Cupido,Tailed-blue,ingested,butterfly,"[-123.37, -33.97, 177.47, 69.10]",2015-01-01 to 2025-12-31,,44988,2026-02-12,GENUS,,100.0,,,"AD,AL,AT,AU,BE,BG,CD,CG,CH,CM,CN,CZ,DE,DK,EE,ES,FI,FJ,FR,GA,GB,GE,GR,HK,HR,HU,ID,IE,IN,IR,IT,JP,KE,KG,KH,KZ,LI,LT,LU,LV,MA,ME,MG,MK,MN,MO,MW,NG,NL,NO,NP,PH,PL,PT,RO,RS,RU,RW,SE,SI,SK,SZ,TH,TR,TW,TZ,UA,UG,US,UZ,VN,XK,ZA,ZM,ZW",Sub-Saharan Africa,
Calycopis cecrops,Red-banded Hairstreak,ingested,butterfly,"[-99.12, 0.97, -69.95, 42.76]",2015-03-04 to 2025-04-27,0.0,980,2026-01-31,SPECIES,1922851,100.0,,,"CO,HN,US",Northern America,
Pholisora catullus,Common Sootywing,ingested,butterfly,"[-123.38, 19.04, -71.34, 50.68]",2015-01-01 to 2021-07-31,0.0,625,2026-01-31,SPECIES,1951217,100.0,,,"CA,MX,US",Northern America,
Satyrium calanus,Banded Hairstreak,ingested,butterfly,"[-121.90, 28.49, -70.36, 45.82]",2025-04-12 to 2025-06-30,0.0,300,2026-01-31,SPECIES,5139029,100.0,,,US,Northern America,
Callophrys gryneus,Juniper Hairstreak,ingested,butterfly,"[-125.05, 28.48, -70.12, 50.49]",2015-01-24 to 2020-05-31,0.0,459,2026-01-31,SPECIES,4300347,100.0,,,"CA,US",Northern America,
Lycaena heteronea,Blue Copper,ingested,butterfly,"[-122.73, 38.92, -105.22, 49.46]",2024-07-12 to 2025-08-12,0.0,29,2026-01-31,SPECIES,5139346,100.0,,,"CA,US",Northern America,
Erynnis baptisiae,Wild Indigo Duskywing,ingested,butterfly,"[-97.48, 29.30, -69.24, 45.46]",2017-03-25 to 2022-07-30,0.0,892,2026-01-31,SPECIES,5977220,100.0,,,"CA,US",Northern America,
Polyura jalysus,,ingested,butterfly,"[98.12, 1.41, 112.00, 20.63]",2015-06-10 to 2025-12-02,,142,2026-02-12,SPECIES,,100.0,,,"ID,KH,LA,MY,TH,VN",South-Eastern Asia,
Parthenos aspila,,ingested,butterfly,"[133.91, -5.22, 145.79, -1.11]",2015-04-03 to 2024-12-30,,40,2026-02-12,SPECIES,,100.0,,,"ID,PG",South-Eastern Asia,
Parthenos sylvia,,ingested,butterfly,"[-72.66, -15.71, 168.17, 52.20]",2015-01-21 to 2025-12-28,,1914,2026-02-12,SPECIES,,100.0,,,"BD,BN,CN,GB,ID,IN,KH,LA,LK,MM,MY,PG,PH,SB,SG,TH,US,VN,VU",South-Eastern Asia,
Lycaena alciphron,,ingested,butterfly,"[-9.06, 31.15, 92.95, 59.43]",2015-01-01 to 2025-08-24,,12105,2026-02-12,SPECIES,,100.0,,,"AD,AL,AM,AT,AZ,BA,BG,BY,CH,CZ,DE,EE,ES,FR,GE,GR,HR,HU,IR,IT,KG,KZ,LT,LV,MA,ME,MK,PL,PT,RO,RS,RU,SI,SK,TR,UA,XK",Southern Europe,
Eucyclodes gavissima,,ingested,butterfly,"[73.41, 3.25, 129.37, 37.98]",2015-07-26 to 2025-10-13,,79,2026-02-12,SPECIES,,100.0,,,"CN,ID,IN,KR,MM,MY,TH,VN",South-Eastern Asia,
Hypolimnas bolina,,ingested,butterfly,"[-180.00, -43.01, 180.00, 51.09]",2015-01-03 to 2025-12-31,,23878,2026-02-12,SPECIES,,100.0,,,"AS,AU,BD,BE,BN,BT,CC,CK,CN,CX,DE,FJ,FM,GU,HK,ID,IN,IO,IT,JP,KH,KR,LA,LK,MG,MH,MM,MO,MP,MV,MY,NC,NF,NP,NU,NZ,OM,PF,PG,PH,PK,PW,SB,SG,TH,TL,TO,TW,UG,VN,VU,WS",South-Eastern Asia,
Apatura ilia,,ingested,butterfly,"[-78.66, -12.78, -67.81, 5.42]",2015-10-19 to 2025-11-28,,33142,2026-02-12,SPECIES,,100.0,,,,,
Eogenes alcides,,ingested,butterfly,"[-9.10, 23.75, 145.51, 64.21]",2015-01-01 to 2025-12-27,,34,2026-02-12,SPECIES,,100.0,,,"AD,AL,AM,AT,AX,BA,BE,BG,BY,CH,CN,CZ,DE,DK,EE,ES,FI,FR,GE,GR,HR,HU,IT,JP,KR,LT,LU,LV,ME,MK,NL,PL,PT,RO,RS,RU,SE,SI,SK,TR,UA,XK",Southern Europe,
Heliconius erato,,ingested,butterfly,"[40.87, 35.86, 53.86, 41.28]",2015-06-14 to 2025-08-04,,6706,2026-02-12,SPECIES,,100.0,,,"AM,GE,IQ,IR,TR",Western Asia,
Bebearia sophus,,ingested,butterfly,"[-115.65, -32.37, 8.81, 56.56]",2015-01-03 to 2025-12-31,,32,2026-02-12,SPECIES,,100.0,,,,,
Dione moneta,,ingested,butterfly,"[-160.17, -34.84, -34.80, 26.22]",2015-01-03 to 2025-12-31,,5841,2026-02-12,SPECIES,,100.0,,,"AR,BO,BR,BZ,CK,CO,CR,CW,EC,GF,GT,GY,HN,MX,NI,PA,PE,PY,SR,SV,TT,US,UY,VE",South America,
